1,2019/1/1,2512
2,2019/1/2,6795
3,2019/1/3,10281
4,2019/1/4,9817
5,2019/1/5,7229
6,2019/1/6,4287
7,2019/1/7,8288
8,2019/1/8,10965
9,2019/1/9,11797
10,2019/1/10,11908
11,2019/1/11,10865
12,2019/1/12,8306
13,2019/1/13,5205
14,2019/1/14,9624
15,2019/1/15,11618
16,2019/1/16,12822
17,2019/1/17,13170
18,2019/1/18,12107
19,2019/1/19,9527
20,2019/1/20,6757
21,2019/1/21,11017
22,2019/1/22,14075
23,2019/1/23,14831
24,2019/1/24,15299
25,2019/1/25,15386
26,2019/1/26,13190
27,2019/1/27,9719
28,2019/1/28,11491
29,2019/1/29,11577
30,2019/1/30,9854
31,2019/1/31,7077
32,2019/2/1,3376
33,2019/2/2,1128
34,2019/2/3,325
35,2019/2/4,34
36,2019/2/5,2
37,2019/2/6,8
38,2019/2/7,21
39,2019/2/8,96
40,2019/2/9,87
41,2019/2/10,273
42,2019/2/11,759
43,2019/2/12,1583
44,2019/2/13,2069
45,2019/2/14,2153
46,2019/2/15,2210
47,2019/2/16,1811
48,2019/2/17,1268
49,2019/2/18,3780
50,2019/2/19,5361
51,2019/2/20,5402
52,2019/2/21,5902
53,2019/2/22,5215
54,2019/2/23,3566
55,2019/2/24,1937
56,2019/2/25,5006
57,2019/2/26,6877
58,2019/2/27,7323
59,2019/2/28,8027
60,2019/3/1,6810
61,2019/3/2,4429
62,2019/3/3,2431
63,2019/3/4,5426
64,2019/3/5,7557
65,2019/3/6,7779
66,2019/3/7,8211
67,2019/3/8,7327
68,2019/3/9,4871
69,2019/3/10,2626
70,2019/3/11,5383
71,2019/3/12,7890
72,2019/3/13,8618
73,2019/3/14,8630
74,2019/3/15,8159
75,2019/3/16,5513
76,2019/3/17,2806
77,2019/3/18,6087
78,2019/3/19,8227
79,2019/3/20,8963
80,2019/3/21,9693
81,2019/3/22,8696
82,2019/3/23,5762
83,2019/3/24,3103
84,2019/3/25,6562
85,2019/3/26,9413
86,2019/3/27,9535
87,2019/3/28,10216
88,2019/3/29,9183
89,2019/3/30,6923
90,2019/3/31,4092
91,2019/4/1,6635
92,2019/4/2,9288
93,2019/4/3,11051
94,2019/4/4,10742
95,2019/4/5,4614
96,2019/4/6,1583
97,2019/4/7,2232
98,2019/4/8,5897
99,2019/4/9,8307
100,2019/4/10,9680
101,2019/4/11,10512
102,2019/4/12,9344
103,2019/4/13,6196
104,2019/4/14,3225
105,2019/4/15,6534
106,2019/4/16,9068
107,2019/4/17,10510
108,2019/4/18,10480
109,2019/4/19,8987
110,2019/4/20,6185
111,2019/4/21,3569
112,2019/4/22,6763
113,2019/4/23,9237
114,2019/4/24,10438
115,2019/4/25,11495
116,2019/4/26,10465
117,2019/4/27,7988
118,2019/4/28,6759
119,2019/4/29,10357
120,2019/4/30,12333
121,2019/5/1,5810
122,2019/5/2,2445
123,2019/5/3,3332
124,2019/5/4,3070
125,2019/5/5,3567
126,2019/5/6,6122
127,2019/5/7,8372
128,2019/5/8,10440
129,2019/5/9,11895
130,2019/5/10,9540
131,2019/5/11,6554
132,2019/5/12,3508
133,2019/5/13,6738
134,2019/5/14,9480
135,2019/5/15,10715
136,2019/5/16,11514
137,2019/5/17,10024
138,2019/5/18,6227
139,2019/5/19,3472
140,2019/5/20,6764
141,2019/5/21,9366
142,2019/5/22,10394
143,2019/5/23,11318
144,2019/5/24,10104
145,2019/5/25,6571
146,2019/5/26,3604
147,2019/5/27,7191
148,2019/5/28,9824
149,2019/5/29,11275
150,2019/5/30,12631
151,2019/5/31,11212
152,2019/6/1,6647
153,2019/6/2,3166
154,2019/6/3,6740
155,2019/6/4,9521
156,2019/6/5,11767
157,2019/6/6,11707
158,2019/6/7,5942
159,2019/6/8,2004
160,2019/6/9,2945
161,2019/6/10,6079
162,2019/6/11,9017
163,2019/6/12,10488
164,2019/6/13,11690
165,2019/6/14,10603
166,2019/6/15,7358
167,2019/6/16,3755
168,2019/6/17,7117
169,2019/6/18,10130
170,2019/6/19,11119
171,2019/6/20,12198
172,2019/6/21,11055
173,2019/6/22,7584
174,2019/6/23,4131
175,2019/6/24,6940
176,2019/6/25,10381
177,2019/6/26,11857
178,2019/6/27,12537
179,2019/6/28,11773
180,2019/6/29,8730
181,2019/6/30,5038
182,2019/7/1,7151
183,2019/7/2,9541
184,2019/7/3,10494
185,2019/7/4,11605
186,2019/7/5,10576
187,2019/7/6,7038
188,2019/7/7,3808
189,2019/7/8,7314
190,2019/7/9,9838
191,2019/7/10,10603
192,2019/7/11,12166
193,2019/7/12,10911
194,2019/7/13,7469
195,2019/7/14,3825
196,2019/7/15,7432
197,2019/7/16,10148
198,2019/7/17,11270
199,2019/7/18,12199
200,2019/7/19,10689
201,2019/7/20,7683
202,2019/7/21,4050
203,2019/7/22,7627
204,2019/7/23,10569
205,2019/7/24,12174
206,2019/7/25,13455
207,2019/7/26,12120
208,2019/7/27,8096
209,2019/7/28,4083
210,2019/7/29,7535
211,2019/7/30,10769
212,2019/7/31,8481
213,2019/8/1,8692
214,2019/8/2,12668
215,2019/8/3,9785
216,2019/8/4,4617
217,2019/8/5,7610
218,2019/8/6,10675
219,2019/8/7,11778
220,2019/8/8,12620
221,2019/8/9,11992
222,2019/8/10,8486
223,2019/8/11,4194
224,2019/8/12,7504
225,2019/8/13,10718
226,2019/8/14,11735
227,2019/8/15,12379
228,2019/8/16,10962
229,2019/8/17,8062
230,2019/8/18,4186
231,2019/8/19,7819
232,2019/8/20,10698
233,2019/8/21,12070
234,2019/8/22,12894
235,2019/8/23,11582
236,2019/8/24,8490
237,2019/8/25,4386
238,2019/8/26,7844
239,2019/8/27,11276
240,2019/8/28,12249
241,2019/8/29,12984
242,2019/8/30,12187
243,2019/8/31,9381
